,Apartment_Name,Apartment_Add,Apartment_Price,Apartment_Tel,Apartment_Type,Apartment_Link
60,Coda on Centre,"5765 Centre Ave, Pittsburgh, PA 15206","$1,965 - 3,730",(844) 845-4811,Studio - 2 Bed,https://www.apartments.com/coda-on-centre-pittsburgh-pa/y9dvdqv/
61,Wendover,"5562 Hobart St, Pittsburgh, PA 15217","$1,135 - 1,620",(412) 357-4925,1-2 Bed,https://www.apartments.com/wendover-pittsburgh-pa/l55ygwf/
62,Highland Plaza Apartments,"301 S Highland Ave, Pittsburgh, PA 15206","$1,300 - 2,000",(844) 661-9858,1-3 Bed,https://www.apartments.com/highland-plaza-apartments-pittsburgh-pa/8nr7t31/
63,The Rockwel - Rockwel Realty Leasing,"430 Shady Ave, Pittsburgh, PA 15206","$1,850",(844) 845-8849,2 Bed,https://www.apartments.com/the-rockwel-rockwel-realty-leasing-pittsburgh-pa/8bj3yk3/
64,Maxon Towers,"6315 Forbes Ave, Squirrel Hill, PA 15217","$1,605 - 3,300",(412) 688-6248,1-3 Bed,https://www.apartments.com/maxon-towers-squirrel-hill-pa/0l3jt62/
65,Morrowfield,"2715 Murray Ave, Pittsburgh, PA 15217","$820 - 1,615",(844) 404-5887,Studio - 2 Bed,https://www.apartments.com/morrowfield-pittsburgh-pa/34lt28g/
66,Hot Metal Flats,"2915 Sidney St, Pittsburgh, PA 15203","$1,317 - 3,147",(412) 419-1366,Studio - 2 Bed,https://www.apartments.com/hot-metal-flats-pittsburgh-pa/bgv9178/
67,REDSTONE PLACE,"265 46th St, Pittsburgh, PA 15201","$1,775 - 2,075",(844) 857-0233,1-2 Bed,https://www.apartments.com/redstone-place-pittsburgh-pa/rqd9zm0/
68,Catalyst Lofts,"141 41st St, Pittsburgh, PA 15201","$1,225 - 2,500",(844) 814-6608,1-3 Bed,https://www.apartments.com/catalyst-lofts-pittsburgh-pa/0v7q7s3/
69,The Reserve at Summerset at Frick Park,"1435 Parkview Blvd, Pittsburgh, PA 15217","$1,980 - 2,580",(844) 564-8456,2-3 Bed,https://www.apartments.com/the-reserve-at-summerset-at-frick-park-pittsburgh-pa/wm9hrck/
70,Highland Park Club Apartments,"1001 N Negley Ave, Pittsburgh, PA 15206","$1,175 - 1,375",(412) 436-5519,1-2 Bed,https://www.apartments.com/highland-park-club-apartments-pittsburgh-pa/qpr93dw/
71,The Gateway at Summerset,"1876 Parkview Blvd, Pittsburgh, PA 15217","$1,575 - 2,315",(844) 228-9323,1-2 Bed,https://www.apartments.com/the-gateway-at-summerset-pittsburgh-pa/dhw10rh/
72,Frick Park Village,"208 Rebecca Ave, Pittsburgh, PA 15221",$805 - 925,(844) 304-1864,1-2 Bed,https://www.apartments.com/frick-park-village-pittsburgh-pa/ldrlfyf/
73,Lando Lofts,"909 Penn Ave, Pittsburgh, PA 15222","$1,195 - 2,195",(412) 200-5027,1-2 Bed,https://www.apartments.com/lando-lofts-pittsburgh-pa/yghplnr/
74,Steiner Realty Regent Square,"535-603 S Trenton Ave, Pittsburgh, PA 15221","$1,100",(844) 590-8040,2 Bed,https://www.apartments.com/steiner-realty-regent-square-pittsburgh-pa/gjjsz9x/
75,Midtown Towers,"643 Liberty Ave, Pittsburgh, PA 15222",Call for Rent,(412) 346-6902,1 Bed,https://www.apartments.com/midtown-towers-pittsburgh-pa/8c3xzr1/
76,6385 Alderson St,"Pittsburgh, PA 15217","$1,550",(412) 532-4536,2 Bed,https://www.apartments.com/6385-alderson-st-pittsburgh-pa/6fyjrrr/
77,352 Atwood St,"Pittsburgh, PA 15213","$1,850",(724) 973-6115,2 Bed,https://www.apartments.com/352-atwood-st-pittsburgh-pa/0e8dgz2/
78,413 Semple St,"Pittsburgh, PA 15213","$4,200",(724) 313-5310,6 Bed,https://www.apartments.com/413-semple-st-pittsburgh-pa/q6zmeby/
79,600 Lockhart St Unit 3,"Pittsburgh, PA 15212","$1,100",,1 Bed,https://www.apartments.com/600-lockhart-st-pittsburgh-pa-unit-3/p8wj9dv/
80,Sherwood Towers Apartments,"230 N Craig St, Pittsburgh, PA 15213","$1,158 - 2,566",(724) 617-0318,Studio - 3 Bed,https://www.apartments.com/sherwood-towers-apartments-pittsburgh-pa/97vth06/
81,King Edward 4601 Apartments,"4601 Bayard St, Pittsburgh, PA 15213","$1,975",(412) 314-1770,2 Bed,https://www.apartments.com/king-edward-4601-apartments-pittsburgh-pa/m65jljh/
82,Oakland-Bates Apartments,"403 Oakland Ave, Pittsburgh, PA 15213","$740 - 2,750",(412) 357-6678,Studio - 4 Bed,https://www.apartments.com/oakland-bates-apartments-pittsburgh-pa/g5w6zkx/
83,AMBERSON PLAZA,"5030 Centre Ave, Pittsburgh, PA 15213","$1,180 - 1,535",(412) 294-8980,1-2 Bed,https://www.apartments.com/amberson-plaza-pittsburgh-pa/k5wzqh8/
84,LUNA Lofts,"410-416 N Craig St, Pittsburgh, PA 15213","$1,840 - 1,850",(412) 837-3393,2 Bed,https://www.apartments.com/luna-lofts-pittsburgh-pa/f3hl5hs/
85,Claybourne Apartments,"5435 Claybourne St, Pittsburgh, PA 15232","$1,105 - 1,795",(412) 924-8013,1-2 Bed,https://www.apartments.com/claybourne-apartments-pittsburgh-pa/edpzvdn/
86,Tiffany Place,"5700 5th Ave, Pittsburgh, PA 15232","$685 - 1,000",(724) 900-2879,Studio - 2 Bed,https://www.apartments.com/tiffany-place-pittsburgh-pa/eg8hj0q/
87,Essex House Apartments,"5701 Centre Ave, Pittsburgh, PA 15206","$1,260 - 1,850",(844) 632-4615,1-2 Bed,https://www.apartments.com/essex-house-apartments-pittsburgh-pa/jlg7se5/
88,Portal Place,"2633 Fifth Ave, Pittsburgh, PA 15213","$1,300 - 2,000",(724) 330-4552,1-2 Bed,https://www.apartments.com/portal-place-pittsburgh-pa/knvj3wb/
89,6111 Alder St Apartments,"6111 Alder St, Pittsburgh, PA 15206","$845 - 1,595",(724) 900-2594,1-3 Bed,https://www.apartments.com/6111-alder-st-apartments-pittsburgh-pa/e3zt8fm/
90,Velma Court,"772 Greenfield Ave, Pittsburgh, PA 15217",$595 - 895,(844) 203-8541,Studio - 2 Bed,https://www.apartments.com/velma-court-pittsburgh-pa/rmx1hj1/
91,Greenhill Apartments,"4221 Winterburn Ave, Pittsburgh, PA 15207",$845 - 965,(724) 519-0150,1-2 Bed,https://www.apartments.com/greenhill-apartments-pittsburgh-pa/k7plz38/
92,Skyline Terrace,"385 Elmore St, Pittsburgh, PA 15219","$1,150 - 1,400",(844) 229-0438,1-4 Bed,https://www.apartments.com/skyline-terrace-pittsburgh-pa/fby971t/
93,Negley Gardens Apartments,"400 N Negley Ave, Pittsburgh, PA 15206","$961 - 1,079",(844) 417-9457,1-2 Bed,https://www.apartments.com/negley-gardens-apartments-pittsburgh-pa/w70z6rl/
94,Garfield Commons,"242 Fern St, Pittsburgh, PA 15201","$950 - 1,400",(412) 361-9028,2-5 Bed,https://www.apartments.com/garfield-commons-pittsburgh-pa/xh8gwrn/
95,Carson Square Apartments,"2112 Sidney St, Pittsburgh, PA 15203",Call for Rent,(412) 465-1128,1-2 Bed,https://www.apartments.com/carson-square-apartments-pittsburgh-pa/v7zlg5d/
96,Larimer Pointe,"429 Larimer Ave, Pittsburgh, PA 15206",Call for Rent,(844) 228-5950,2-3 Bed,https://www.apartments.com/larimer-pointe-pittsburgh-pa/7429nmw/
97,Kelly Hamilton Homes,"7049 Hamilton Ave, Pittsburgh, PA 15208","$1,000 - 1,550",(844) 294-1467,1-3 Bed,https://www.apartments.com/kelly-hamilton-homes-pittsburgh-pa/5vnb6mq/
98,Apartment for Rent,"355 Oakland Ave, Pittsburgh, PA 15213","$875 - 1,450",(412) 900-0774,Studio - 2 Bed,https://www.apartments.com/355-oakland-ave-pittsburgh-pa/kpe8m09/
99,Apartment for Rent,"236 Meyran Ave, Pittsburgh, PA 15213","$1,300 - 1,450",(724) 313-5339,2 Bed,https://www.apartments.com/236-meyran-ave-pittsburgh-pa/tht92e8/
100,Apartment for Rent,"514 Semple St, Pittsburgh, PA 15213",$850 - 875,(412) 690-0246,1 Bed,https://www.apartments.com/514-semple-st-pittsburgh-pa/c63ktpd/
101,House for Rent,"510 Semple St, Pittsburgh, PA 15213","$3,000",(412) 314-1586,4 Bed,https://www.apartments.com/510-semple-st-pittsburgh-pa/dzdl8xk/
102,Apartment for Rent,"512 Semple St, Pittsburgh, PA 15213","$1,950",(412) 690-0248,3 Bed,https://www.apartments.com/512-semple-st-pittsburgh-pa/jrl16g5/
103,Apartment for Rent,"5154 Cypress St, Pittsburgh, PA 15224","$4,200",,6 Bed,https://www.apartments.com/5154-cypress-st-pittsburgh-pa/k61dmqb/
104,House for Rent,"3345 Parkview Ave, Pittsburgh, PA 15213","$1,750",(724) 400-5935,3 Bed,https://www.apartments.com/3345-parkview-ave-pittsburgh-pa/k0pnf0b/
105,House for Rent,"123 Chesterfield Rd, Pittsburgh, PA 15213","$1,650",(631) 268-5043,3 Bed,https://www.apartments.com/123-chesterfield-rd-pittsburgh-pa/q4n583z/
106,House for Rent,"3238 Hardie Way, Pittsburgh, PA 15213","$1,300",(724) 565-3034,2 Bed,https://www.apartments.com/3238-hardie-way-pittsburgh-pa/p5mk2pt/
107,House for Rent,"3219 Kennett Sq., Pittsburgh, PA 15213","$2,500",(724) 492-4207,3 Bed,https://www.apartments.com/3219-kennett-sq-pittsburgh-pa/2hjfg68/
108,House for Rent,"268 Robinson St, Pittsburgh, PA 15213","$3,200",,5 Bed,https://www.apartments.com/268-robinson-st-pittsburgh-pa/1jrrz94/
109,House for Rent,"654 Herron Ave, Pittsburgh, PA 15219","$1,700",(412) 274-1362,3 Bed,https://www.apartments.com/654-herron-ave-pittsburgh-pa/s4zdlq6/
110,Apartment for Rent,"4754 Liberty Ave, Pittsburgh, PA 15224","$2,100",,3 Bed,https://www.apartments.com/4754-liberty-ave-pittsburgh-pa/z53fhjz/
111,Apartment for Rent,"5934 Elwood St, Pittsburgh, PA 15232","$1,335",(412) 404-6828,1 Bed,https://www.apartments.com/5934-elwood-st-pittsburgh-pa/2rdstxb/
112,Apartment for Rent,"3507 Bigelow Blvd, Pittsburgh, PA 15213","$1,700",(724) 860-6157,3 Bed,https://www.apartments.com/3507-bigelow-blvd-pittsburgh-pa/l49rvkd/
113,Condo for Rent,"5715 Beacon St, Pittsburgh, PA 15217","$1,050",(412) 419-1019,1 Bed,https://www.apartments.com/5715-beacon-st-pittsburgh-pa-unit-315/d0rypck/
114,Townhome for Rent,"3446 Melwood Avenue, Pittsburgh, PA 15219","$1,400",,2 Bed,https://www.apartments.com/3446-melwood-avenue-pittsburgh-pa/c7hyybf/
115,House for Rent,"6220 Sellers Street, Pittsburgh, PA 15206","$3,800",,3 Bed,https://www.apartments.com/6220-sellers-street-pittsburgh-pa/vhj0ywf/
116,Apartment for Rent,"6373 Alderson St, Pittsburgh, PA 15217","$1,695",(724) 330-4618,2 Bed,https://www.apartments.com/6373-alderson-st-pittsburgh-pa/19vbjx4/
117,Apartment for Rent,"1838 Shaw Ave, Pittsburgh, PA 15217","$1,750",(724) 330-4615,3 Bed,https://www.apartments.com/1838-shaw-ave-pittsburgh-pa/zbtcw0z/
118,Apartment for Rent,"530 N Euclid Ave, Pittsburgh, PA 15206","$1,395",(724) 269-8242,2 Bed,https://www.apartments.com/530-n-euclid-ave-pittsburgh-pa/jdlt6w4/
119,Townhome for Rent,"2526 Beechwood Blvd, Pittsburgh, PA 15217","$1,995",(412) 506-8459,3 Bed,https://www.apartments.com/2526-beechwood-blvd-pittsburgh-pa/sn6k4f6/
120,Apartment for Rent,"2219 Sarah St, Pittsburgh, PA 15203",$825,(412) 506-8460,1 Bed,https://www.apartments.com/2219-sarah-st-pittsburgh-pa/v0xyxwg/
121,Apartment for Rent,"2228 Sarah St, Pittsburgh, PA 15203","$1,450",,2 Bed,https://www.apartments.com/2228-sarah-st-pittsburgh-pa/bhj18cc/
122,House for Rent,"1709 Forbes Ave, Pittsburgh, PA 15219","$2,240",,4 Bed,https://www.apartments.com/1709-forbes-ave-pittsburgh-pa/r2fm6g1/
123,House for Rent,"2109 Jane St, Pittsburgh, PA 15203","$2,100",(412) 528-0239,3 Bed,https://www.apartments.com/2109-jane-st-pittsburgh-pa/ctn71zd/
124,House for Rent,"2827 Sumner St, Pittsburgh, PA 15203",$950,,2 Bed,https://www.apartments.com/2827-sumner-st-pittsburgh-pa/rzwfp03/
125,Apartment for Rent,"5443 Stanton Ave, Pittsburgh, PA 15206",$600,(412) 506-8714,Studio,https://www.apartments.com/5443-stanton-ave-pittsburgh-pa/4g8pk2j/
126,House for Rent,"152 45th St, Pittsburgh, PA 15201","$2,400",(412) 506-8736,3 Bed,https://www.apartments.com/152-45th-st-pittsburgh-pa/jex3eg7/
127,House for Rent,"206 Hazelwood Ave, Pittsburgh, PA 15207","$1,300",(316) 803-0336,4 Bed,https://www.apartments.com/206-hazelwood-ave-pittsburgh-pa/1bcl8y4/
128,Townhome for Rent,"5128 Keystone St, Pittsburgh, PA 15201","$1,995",(412) 688-6001,4 Bed,https://www.apartments.com/5128-keystone-st-pittsburgh-pa/44lwq7h/
129,Apartment for Rent,"4343 Coleridge St, Pittsburgh, PA 15201",$999,(724) 313-6038,2 Bed,https://www.apartments.com/4343-coleridge-st-pittsburgh-pa/ebpe4bm/
130,Apartment for Rent,"1347 Lowrie St, Pittsburgh, PA 15212","$1,025",(412) 506-8574,2 Bed,https://www.apartments.com/1347-lowrie-st-pittsburgh-pa/d9c06xl/
131,Apartment for Rent,"1111 N Highland Ave, Pittsburgh, PA 15206","$1,695",,4 Bed,https://www.apartments.com/1111-n-highland-ave-pittsburgh-pa/x89e23n/
132,House for Rent,"1159 McCabe St, Pittsburgh, PA 15201","$1,950",(412) 550-0904,3 Bed,https://www.apartments.com/1159-mccabe-st-pittsburgh-pa/v2c7mke/
133,Apartment for Rent,"112 Washington Pl, Pittsburgh, PA 15219","$1,100",,1 Bed,https://www.apartments.com/112-washington-pl-pittsburgh-pa/m0cp9ml/
134,Apartment for Rent,"112 Washington Pl, Pittsburgh, PA 15219",$995,,1 Bed,https://www.apartments.com/112-washington-pl-pittsburgh-pa/6ex4w1r/
135,House for Rent,"2025 S 18th St, Pittsburgh, PA 15203","$1,495",(724) 237-5791,4 Bed,https://www.apartments.com/2025-s-18th-st-pittsburgh-pa/c5sh70e/
136,Apartment for Rent,"5147 Butler St, Pittsburgh, PA 15201","$1,450",,2 Bed,https://www.apartments.com/5147-butler-st-pittsburgh-pa/28gwf88/
137,Condo for Rent,"112 Washington Pl, Pittsburgh, PA 15219","$1,300",(412) 357-5247,1 Bed,https://www.apartments.com/112-washington-pl-pittsburgh-pa-unit-10f/tw9ks19/
138,Condo for Rent,"201 E End Ave, Pittsburgh, PA 15221","$1,800",,2 Bed,https://www.apartments.com/201-e-end-ave-pittsburgh-pa-unit-3/qzldv1x/
139,Apartment for Rent,"911 Arlington Ave, Pittsburgh, PA 15203","$1,400",,2 Bed,https://www.apartments.com/911-arlington-ave-pittsburgh-pa/c620s8e/
140,Apartment for Rent,"62 Mount Oliver St, Pittsburgh, PA 15210",$975,(412) 436-5384,2 Bed,https://www.apartments.com/62-mount-oliver-st-pittsburgh-pa/r5cwmr1/
141,Apartment for Rent,"523 Suismon Street, Pittsburgh, PA 15212","$1,500",(412) 203-8734,1 Bed,https://www.apartments.com/523-suismon-street-pittsburgh-pa/8g9gqc2/
